std,lower_quartile,dwelling,district,end_date,area,region,bedrooms,upper_quartile,start_date,bonds_received,average_rent,median_rent,date_type
31.12,155,House,Wanganui,2011-02-28,Entire District,Manawatu,2,200,2010-09-01,112,181,180,range
29.28,100,House,Wanganui,2011-02-28,Entire District,Manawatu,1,150,2010-09-01,6,122,120,range
174.75,220,Flat,Waitakere,2011-02-28,Western Beaches/Rural,Auckland,1,523,2010-09-01,7,349,250,range
207.42,410,House,Waitakere,2011-02-28,Western Beaches/Rural,Auckland,5+,562,2010-09-01,8,535,460,range
72.27,405,House,Waitakere,2011-02-28,Western Beaches/Rural,Auckland,4,500,2010-09-01,28,467,460,range
73.68,330,House,Waitakere,2011-02-28,Western Beaches/Rural,Auckland,3,387,2010-09-01,51,371,350,range
43.79,280,House,Waitakere,2011-02-28,Western Beaches/Rural,Auckland,2,340,2010-09-01,28,314,315,range
27.93,250,House,Waitakere,2011-02-28,Western Beaches/Rural,Auckland,1,267,2010-09-01,9,253,250,range
37.15,152,Room,Waitakere,2011-02-28,Western Beaches/Rural,Auckland,1,210,2010-09-01,5,184,210,range
23.02,117,Flat,Invercargill,2011-02-28,Suburbs,Southland,3,153,2010-09-01,5,139,150,range
32.86,150,Flat,Invercargill,2011-02-28,Suburbs,Southland,2,195,2010-09-01,42,173,177,range
19.68,130,Flat,Invercargill,2011-02-28,Suburbs,Southland,1,145,2010-09-01,18,136,134,range
31.57,257,House,Invercargill,2011-02-28,Suburbs,Southland,5+,295,2010-09-01,11,282,280,range
42.3,240,House,Invercargill,2011-02-28,Suburbs,Southland,4,290,2010-09-01,69,265,280,range
41.36,200,House,Invercargill,2011-02-28,Suburbs,Southland,3,250,2010-09-01,427,229,230,range
38.71,174,House,Invercargill,2011-02-28,Suburbs,Southland,2,220,2010-09-01,89,198,195,range
292.06,118,Flat,Wairoa,2011-02-28,Entire District,Hawkes Bay,2,140,2010-09-01,9,222,130,range
31.36,140,House,Wairoa,2011-02-28,Entire District,Hawkes Bay,4,200,2010-09-01,10,165,170,range
20.18,148,House,Wairoa,2011-02-28,Entire District,Hawkes Bay,3,170,2010-09-01,41,159,160,range
23.93,130,House,Wairoa,2011-02-28,Entire District,Hawkes Bay,2,151,2010-09-01,13,145,140,range
18.64,150,Flat,Waitaki,2011-02-28,Entire District,Otago,2,180,2010-09-01,13,166,175,range
25.01,111,Flat,Waitaki,2011-02-28,Entire District,Otago,1,152,2010-09-01,17,127,125,range
94.87,240,House,Waitaki,2011-02-28,Entire District,Otago,4,280,2010-09-01,30,262,250,range
30.43,210,House,Waitaki,2011-02-28,Entire District,Otago,3,240,2010-09-01,125,225,230,range
26.1,180,House,Waitaki,2011-02-28,Entire District,Otago,2,215,2010-09-01,47,197,200,range
32.77,170,Flat,Palmerston North,2011-02-28,Kelvin Grove/Roslyn,Manawatu,2,210,2010-09-01,30,192,187,range
30.2,140,Flat,Palmerston North,2011-02-28,Kelvin Grove/Roslyn,Manawatu,1,162,2010-09-01,12,145,140,range
103.09,310,House,Palmerston North,2011-02-28,Kelvin Grove/Roslyn,Manawatu,5+,480,2010-09-01,6,396,390,range
88.72,287,House,Palmerston North,2011-02-28,Kelvin Grove/Roslyn,Manawatu,4,400,2010-09-01,28,326,330,range
47.25,250,House,Palmerston North,2011-02-28,Kelvin Grove/Roslyn,Manawatu,3,295,2010-09-01,102,278,270,range
35.55,210,House,Palmerston North,2011-02-28,Kelvin Grove/Roslyn,Manawatu,2,251,2010-09-01,25,239,240,range
18.64,150,Flat,Waitaki,2011-02-28,Entire District,Canterbury,2,180,2010-09-01,13,166,175,range
25.01,111,Flat,Waitaki,2011-02-28,Entire District,Canterbury,1,152,2010-09-01,17,127,125,range
94.87,240,House,Waitaki,2011-02-28,Entire District,Canterbury,4,280,2010-09-01,30,262,250,range
30.43,210,House,Waitaki,2011-02-28,Entire District,Canterbury,3,240,2010-09-01,125,225,230,range
26.1,180,House,Waitaki,2011-02-28,Entire District,Canterbury,2,215,2010-09-01,47,197,200,range
24.73,135,Flat,South Taranaki,2011-02-28,Rural South Taranaki,Taranaki,2,170,2010-09-01,11,152,140,range
85.48,183,House,South Taranaki,2011-02-28,Rural South Taranaki,Taranaki,4,250,2010-09-01,13,227,230,range
37.59,150,House,South Taranaki,2011-02-28,Rural South Taranaki,Taranaki,3,200,2010-09-01,84,180,185,range
33.26,140,House,South Taranaki,2011-02-28,Rural South Taranaki,Taranaki,2,170,2010-09-01,22,163,160,range
55.66,200,Apartment,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,3,280,2010-09-01,6,252,247,range
50.27,220,Apartment,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,2,250,2010-09-01,36,243,240,range
41.84,130,Apartment,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,1,185,2010-09-01,14,152,160,range
71.39,240,Flat,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,3,320,2010-09-01,6,271,245,range
33.14,196,Flat,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,2,240,2010-09-01,67,218,220,range
49.11,160,Flat,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,1,180,2010-09-01,42,161,167,range
76.48,270,House,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,4,382,2010-09-01,19,333,340,range
46.74,272,House,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,3,322,2010-09-01,104,299,300,range
40.72,233,House,Whangarei,2011-02-28,Whangarei Central/Otangarei,Northland,2,282,2010-09-01,41,261,260,range
61.24,141,Flat,Gisborne,2011-02-28,Rural Gisborne,Gisborne,2,230,2010-09-01,5,185,190,range
101.37,287,House,Gisborne,2011-02-28,Rural Gisborne,Gisborne,4,367,2010-09-01,9,321,330,range
64.82,220,House,Gisborne,2011-02-28,Rural Gisborne,Gisborne,3,290,2010-09-01,29,253,250,range
36.78,180,House,Gisborne,2011-02-28,Rural Gisborne,Gisborne,2,235,2010-09-01,8,205,207,range
45.1,181,Flat,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Waikato,2,260,2010-09-01,9,220,250,range
47.91,120,Flat,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Waikato,1,180,2010-09-01,14,143,160,range
85.25,320,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Waikato,5+,380,2010-09-01,10,336,360,range
57.01,282,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Waikato,4,350,2010-09-01,24,325,310,range
42.04,250,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Waikato,3,300,2010-09-01,87,277,280,range
39.87,213,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Waikato,2,252,2010-09-01,45,238,240,range
15.81,163,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Waikato,1,185,2010-09-01,5,175,170,range
64.03,242,House,Whakatane,2011-02-28,Whakatane Rural,Bay of Plenty,4,347,2010-09-01,15,298,280,range
72.54,148,House,Whakatane,2011-02-28,Whakatane Rural,Bay of Plenty,3,270,2010-09-01,59,222,240,range
76.09,190,House,Whakatane,2011-02-28,Whakatane Rural,Bay of Plenty,2,250,2010-09-01,14,209,200,range
153.39,350,Apartment,Nelson,2011-02-28,Stoke/Nayland/Tahunanui,Nelson,2,452,2010-09-01,5,426,360,range
29.38,240,Flat,Nelson,2011-02-28,Stoke/Nayland/Tahunanui,Nelson,2,275,2010-09-01,62,251,255,range
16.11,168,Flat,Nelson,2011-02-28,Stoke/Nayland/Tahunanui,Nelson,1,195,2010-09-01,17,180,175,range
53.26,450,House,Nelson,2011-02-28,Stoke/Nayland/Tahunanui,Nelson,5+,500,2010-09-01,6,463,467,range
54.87,400,House,Nelson,2011-02-28,Stoke/Nayland/Tahunanui,Nelson,4,460,2010-09-01,46,430,435,range
42.15,318,House,Nelson,2011-02-28,Stoke/Nayland/Tahunanui,Nelson,3,360,2010-09-01,133,338,340,range
33.55,256,House,Nelson,2011-02-28,Stoke/Nayland/Tahunanui,Nelson,2,298,2010-09-01,51,277,275,range
53.54,210,Apartment,Marlborough,2011-02-28,Sounds/Rural Marlborough,Marlborough,2,270,2010-09-01,6,256,255,range
34.28,200,Flat,Marlborough,2011-02-28,Sounds/Rural Marlborough,Marlborough,2,250,2010-09-01,15,220,220,range
21.6,150,Flat,Marlborough,2011-02-28,Sounds/Rural Marlborough,Marlborough,1,170,2010-09-01,16,162,160,range
65.89,300,House,Marlborough,2011-02-28,Sounds/Rural Marlborough,Marlborough,4,365,2010-09-01,20,324,330,range
55.61,240,House,Marlborough,2011-02-28,Sounds/Rural Marlborough,Marlborough,3,300,2010-09-01,49,279,270,range
45.42,210,House,Marlborough,2011-02-28,Sounds/Rural Marlborough,Marlborough,2,250,2010-09-01,28,240,235,range
27.39,267,Flat,Tasman,2011-02-28,Richmond/Wakefield/Brightwater/Mapua,Tasman,3,307,2010-09-01,5,290,290,range
34.77,220,Flat,Tasman,2011-02-28,Richmond/Wakefield/Brightwater/Mapua,Tasman,2,270,2010-09-01,30,246,245,range
32.51,185,Flat,Tasman,2011-02-28,Richmond/Wakefield/Brightwater/Mapua,Tasman,1,230,2010-09-01,10,203,205,range
45.68,415,House,Tasman,2011-02-28,Richmond/Wakefield/Brightwater/Mapua,Tasman,5+,482,2010-09-01,7,444,420,range
62.63,380,House,Tasman,2011-02-28,Richmond/Wakefield/Brightwater/Mapua,Tasman,4,442,2010-09-01,41,413,400,range
46.4,330,House,Tasman,2011-02-28,Richmond/Wakefield/Brightwater/Mapua,Tasman,3,375,2010-09-01,130,353,350,range
24.56,270,House,Tasman,2011-02-28,Richmond/Wakefield/Brightwater/Mapua,Tasman,2,310,2010-09-01,34,290,290,range
142.3,135,Flat,Stratford,2011-02-28,Entire District,Taranaki,2,187,2010-09-01,20,190,160,range
21.11,100,Flat,Stratford,2011-02-28,Entire District,Taranaki,1,113,2010-09-01,11,111,105,range
40.23,235,House,Stratford,2011-02-28,Entire District,Taranaki,4,280,2010-09-01,16,254,255,range
27.83,210,House,Stratford,2011-02-28,Entire District,Taranaki,3,250,2010-09-01,62,230,230,range
28.52,162,House,Stratford,2011-02-28,Entire District,Taranaki,2,190,2010-09-01,9,177,180,range
39.27,195,Flat,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Waikato,2,252,2010-09-01,12,223,212,range
55.91,97,Flat,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Waikato,1,207,2010-09-01,8,151,145,range
54.18,350,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Waikato,5+,420,2010-09-01,10,380,380,range
58.05,330,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Waikato,4,360,2010-09-01,46,352,350,range
77.51,250,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Waikato,3,320,2010-09-01,122,292,280,range
44.79,220,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Waikato,2,263,2010-09-01,51,242,240,range
53.2,182,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Waikato,1,225,2010-09-01,5,209,195,range
49.61,160,Flat,Grey,2011-02-28,Entire District,West Coast,2,230,2010-09-01,18,203,190,range
25.88,130,Flat,Grey,2011-02-28,Entire District,West Coast,1,165,2010-09-01,8,151,145,range
95.24,230,House,Grey,2011-02-28,Entire District,West Coast,4,340,2010-09-01,28,270,255,range
54.2,230,House,Grey,2011-02-28,Entire District,West Coast,3,305,2010-09-01,88,270,265,range
49.96,187,House,Grey,2011-02-28,Entire District,West Coast,2,280,2010-09-01,29,235,240,range
62.72,160,Flat,Buller,2011-02-28,Entire District,West Coast,2,260,2010-09-01,14,204,200,range
39.57,165,Flat,Buller,2011-02-28,Entire District,West Coast,1,230,2010-09-01,7,197,190,range
57.75,210,House,Buller,2011-02-28,Entire District,West Coast,4,315,2010-09-01,12,260,255,range
69.41,230,House,Buller,2011-02-28,Entire District,West Coast,3,315,2010-09-01,75,279,270,range
58.48,190,House,Buller,2011-02-28,Entire District,West Coast,2,288,2010-09-01,17,229,220,range
95.2,390,Apartment,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,3,500,2010-09-01,17,440,470,range
58.94,295,Apartment,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,2,350,2010-09-01,30,328,325,range
46.93,222,Apartment,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,1,287,2010-09-01,16,255,265,range
66.42,528,Flat,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,4,592,2010-09-01,9,553,550,range
71.27,395,Flat,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,3,491,2010-09-01,33,443,450,range
58.61,300,Flat,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,2,360,2010-09-01,84,336,330,range
58.92,218,Flat,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,1,270,2010-09-01,61,248,250,range
129.23,645,House,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,5+,780,2010-09-01,18,726,710,range
111.89,550,House,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,4,682,2010-09-01,39,606,600,range
88.52,420,House,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,3,500,2010-09-01,83,466,470,range
57.23,330,House,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,2,420,2010-09-01,50,379,380,range
61.37,262,House,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,1,350,2010-09-01,7,310,290,range
98.94,150,Room,Wellington,2011-02-28,Vogeltown/Berhampore/Newtown,Wellington,1,185,2010-09-01,36,194,167,range
27.59,167,Flat,Westland,2011-02-28,Entire District,West Coast,2,182,2010-09-01,9,168,180,range
32.06,118,Flat,Westland,2011-02-28,Entire District,West Coast,1,148,2010-09-01,9,134,140,range
52.6,236,House,Westland,2011-02-28,Entire District,West Coast,4,257,2010-09-01,11,236,250,range
45.08,200,House,Westland,2011-02-28,Entire District,West Coast,3,260,2010-09-01,38,234,240,range
128.03,192,House,Westland,2011-02-28,Entire District,West Coast,2,220,2010-09-01,19,235,210,range
3.16,80,Room,Westland,2011-02-28,Entire District,West Coast,1,80,2010-09-01,6,80,80,range
76.8,180,Flat,Wellington,2011-02-28,Tawa/Grenada North,Wellington,3,300,2010-09-01,6,247,247,range
77.87,247,Flat,Wellington,2011-02-28,Tawa/Grenada North,Wellington,2,277,2010-09-01,28,278,260,range
33.16,197,Flat,Wellington,2011-02-28,Tawa/Grenada North,Wellington,1,240,2010-09-01,8,218,205,range
310.48,417,House,Wellington,2011-02-28,Tawa/Grenada North,Wellington,5+,646,2010-09-01,5,577,440,range
68.78,373,House,Wellington,2011-02-28,Tawa/Grenada North,Wellington,4,491,2010-09-01,25,431,435,range
78.22,325,House,Wellington,2011-02-28,Tawa/Grenada North,Wellington,3,390,2010-09-01,66,357,352,range
26.51,280,House,Wellington,2011-02-28,Tawa/Grenada North,Wellington,2,310,2010-09-01,14,292,290,range
15.75,200,Flat,Waipa,2011-02-28,Te Awamutu,Waikato,2,225,2010-09-01,28,214,212,range
19.6,140,Flat,Waipa,2011-02-28,Te Awamutu,Waikato,1,175,2010-09-01,6,154,150,range
34.27,290,House,Waipa,2011-02-28,Te Awamutu,Waikato,4,350,2010-09-01,22,321,325,range
31.35,270,House,Waipa,2011-02-28,Te Awamutu,Waikato,3,300,2010-09-01,108,288,282,range
34.56,220,House,Waipa,2011-02-28,Te Awamutu,Waikato,2,252,2010-09-01,28,237,230,range
30.79,191,Flat,Marlborough,2011-02-28,Blenheim Outer/Renwick,Marlborough,2,230,2010-09-01,19,212,220,range
33.37,125,Flat,Marlborough,2011-02-28,Blenheim Outer/Renwick,Marlborough,1,170,2010-09-01,8,148,147,range
52.52,357,House,Marlborough,2011-02-28,Blenheim Outer/Renwick,Marlborough,4,421,2010-09-01,33,384,395,range
48.09,267,House,Marlborough,2011-02-28,Blenheim Outer/Renwick,Marlborough,3,320,2010-09-01,120,294,292,range
36.54,220,House,Marlborough,2011-02-28,Blenheim Outer/Renwick,Marlborough,2,270,2010-09-01,32,243,242,range
109.35,490,Apartment,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,3,640,2010-09-01,14,547,542,range
84.22,370,Apartment,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,2,500,2010-09-01,62,437,420,range
93.24,330,Apartment,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,1,400,2010-09-01,22,380,367,range
88.03,447,Flat,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,3,566,2010-09-01,21,519,530,range
105.41,350,Flat,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,2,420,2010-09-01,62,400,387,range
86.62,250,Flat,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,1,322,2010-09-01,57,300,295,range
188,960,House,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,5+,1162,2010-09-01,9,1037,1100,range
139.34,651,House,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,4,772,2010-09-01,19,699,730,range
159.31,500,House,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,3,702,2010-09-01,37,564,560,range
151.5,400,House,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,2,500,2010-09-01,32,474,452,range
69.46,365,House,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,1,400,2010-09-01,6,359,385,range
55.27,150,Room,Wellington,2011-02-28,Mt Victoria/Roseneath,Wellington,1,250,2010-09-01,22,208,212,range
84.08,475,Apartment,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,3,583,2010-09-01,5,537,550,range
58.85,405,Apartment,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,2,490,2010-09-01,58,453,450,range
65.53,275,Apartment,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,1,375,2010-09-01,56,329,335,range
107.07,446,Flat,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,3,502,2010-09-01,13,486,465,range
78.19,335,Flat,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,2,440,2010-09-01,32,384,380,range
57.93,206,Flat,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,1,280,2010-09-01,27,248,235,range
173.05,500,House,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,4,701,2010-09-01,25,626,600,range
196.55,460,House,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,3,650,2010-09-01,40,579,545,range
72.8,400,House,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,2,500,2010-09-01,36,450,450,range
94.26,275,House,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,1,445,2010-09-01,6,345,340,range
44.3,131,Room,Wellington,2011-02-28,Wadestown/Thorndon,Wellington,1,186,2010-09-01,9,165,170,range
43.93,322,Flat,Wellington,2011-02-28,Miramar/Strathmore,Wellington,3,396,2010-09-01,5,361,380,range
65.17,300,Flat,Wellington,2011-02-28,Miramar/Strathmore,Wellington,2,360,2010-09-01,26,336,332,range
45.56,237,Flat,Wellington,2011-02-28,Miramar/Strathmore,Wellington,1,292,2010-09-01,21,264,250,range
187.84,482,House,Wellington,2011-02-28,Miramar/Strathmore,Wellington,4,600,2010-09-01,23,588,585,range
80.61,410,House,Wellington,2011-02-28,Miramar/Strathmore,Wellington,3,500,2010-09-01,66,466,460,range
75.26,326,House,Wellington,2011-02-28,Miramar/Strathmore,Wellington,2,412,2010-09-01,27,378,360,range
174.91,842,Apartment,Wellington,2011-02-28,Te Aro,Wellington,5+,987,2010-09-01,15,911,850,range
99.93,692,Apartment,Wellington,2011-02-28,Te Aro,Wellington,4,825,2010-09-01,17,741,760,range
97.56,530,Apartment,Wellington,2011-02-28,Te Aro,Wellington,3,680,2010-09-01,54,611,600,range
113.07,395,Apartment,Wellington,2011-02-28,Te Aro,Wellington,2,545,2010-09-01,266,472,460,range
81.73,275,Apartment,Wellington,2011-02-28,Te Aro,Wellington,1,365,2010-09-01,178,322,307,range
81.72,500,Flat,Wellington,2011-02-28,Te Aro,Wellington,3,635,2010-09-01,6,582,580,range
200.83,360,Flat,Wellington,2011-02-28,Te Aro,Wellington,2,556,2010-09-01,11,491,450,range
79.8,230,Flat,Wellington,2011-02-28,Te Aro,Wellington,1,330,2010-09-01,14,294,285,range
64.87,506,House,Wellington,2011-02-28,Te Aro,Wellington,3,600,2010-09-01,5,552,585,range
101.25,170,Room,Wellington,2011-02-28,Te Aro,Wellington,1,217,2010-09-01,23,213,180,range
134.87,420,Apartment,Wellington,2011-02-28,Oriental Bay/Seatoun,Wellington,2,595,2010-09-01,14,519,537,range
85.7,327,Apartment,Wellington,2011-02-28,Oriental Bay/Seatoun,Wellington,1,456,2010-09-01,5,387,400,range
38.66,320,Flat,Wellington,2011-02-28,Oriental Bay/Seatoun,Wellington,2,380,2010-09-01,10,350,350,range
71.88,265,Flat,Wellington,2011-02-28,Oriental Bay/Seatoun,Wellington,1,360,2010-09-01,9,303,300,range
224.5,575,House,Wellington,2011-02-28,Oriental Bay/Seatoun,Wellington,4,862,2010-09-01,9,751,750,range
189.8,550,House,Wellington,2011-02-28,Oriental Bay/Seatoun,Wellington,3,800,2010-09-01,28,660,655,range
134.32,420,House,Wellington,2011-02-28,Oriental Bay/Seatoun,Wellington,2,650,2010-09-01,14,537,525,range
97.75,410,Flat,Wellington,2011-02-28,Kilbirnie/Lyall Bay,Wellington,3,495,2010-09-01,5,461,425,range
51.64,293,Flat,Wellington,2011-02-28,Kilbirnie/Lyall Bay,Wellington,2,352,2010-09-01,29,326,320,range
40.51,205,Flat,Wellington,2011-02-28,Kilbirnie/Lyall Bay,Wellington,1,260,2010-09-01,16,238,240,range
55.05,450,House,Wellington,2011-02-28,Kilbirnie/Lyall Bay,Wellington,4,535,2010-09-01,5,504,520,range
86.44,400,House,Wellington,2011-02-28,Kilbirnie/Lyall Bay,Wellington,3,510,2010-09-01,38,443,450,range
67.12,347,House,Wellington,2011-02-28,Kilbirnie/Lyall Bay,Wellington,2,392,2010-09-01,17,348,360,range
24.57,160,Room,Wellington,2011-02-28,Kilbirnie/Lyall Bay,Wellington,1,180,2010-09-01,10,163,167,range
46.25,353,Flat,Wellington,2011-02-28,Khandallah,Wellington,3,385,2010-09-01,7,368,370,range
37.8,280,Flat,Wellington,2011-02-28,Khandallah,Wellington,2,325,2010-09-01,14,299,305,range
54.36,198,Flat,Wellington,2011-02-28,Khandallah,Wellington,1,282,2010-09-01,5,239,210,range
138.18,500,House,Wellington,2011-02-28,Khandallah,Wellington,4,685,2010-09-01,26,594,567,range
89.16,405,House,Wellington,2011-02-28,Khandallah,Wellington,3,517,2010-09-01,64,471,450,range
100.15,327,House,Wellington,2011-02-28,Khandallah,Wellington,2,457,2010-09-01,17,413,400,range
57.77,353,Apartment,Wellington,2011-02-28,Northland,Wellington,2,408,2010-09-01,5,380,390,range
97.31,502,Flat,Wellington,2011-02-28,Northland,Wellington,4,660,2010-09-01,5,588,650,range
69.03,300,Flat,Wellington,2011-02-28,Northland,Wellington,2,365,2010-09-01,19,322,315,range
41.86,240,Flat,Wellington,2011-02-28,Northland,Wellington,1,287,2010-09-01,23,260,260,range
145.99,520,House,Wellington,2011-02-28,Northland,Wellington,4,690,2010-09-01,7,601,580,range
163.53,435,House,Wellington,2011-02-28,Northland,Wellington,3,600,2010-09-01,22,521,450,range
103.71,357,House,Wellington,2011-02-28,Northland,Wellington,2,503,2010-09-01,13,433,420,range
53.33,375,Flat,Wellington,2011-02-28,Ngaio/Kaiwharawhara/Wilton,Wellington,3,450,2010-09-01,6,410,415,range
39.86,280,Flat,Wellington,2011-02-28,Ngaio/Kaiwharawhara/Wilton,Wellington,2,337,2010-09-01,47,304,295,range
28.84,217,Flat,Wellington,2011-02-28,Ngaio/Kaiwharawhara/Wilton,Wellington,1,251,2010-09-01,33,236,240,range
100.35,445,House,Wellington,2011-02-28,Ngaio/Kaiwharawhara/Wilton,Wellington,4,565,2010-09-01,28,505,500,range
108.53,387,House,Wellington,2011-02-28,Ngaio/Kaiwharawhara/Wilton,Wellington,3,476,2010-09-01,53,444,430,range
60.69,340,House,Wellington,2011-02-28,Ngaio/Kaiwharawhara/Wilton,Wellington,2,392,2010-09-01,29,375,360,range
74.27,335,Flat,Wellington,2011-02-28,Karori,Wellington,3,403,2010-09-01,7,372,385,range
51.8,283,Flat,Wellington,2011-02-28,Karori,Wellington,2,357,2010-09-01,25,323,300,range
49.48,222,Flat,Wellington,2011-02-28,Karori,Wellington,1,270,2010-09-01,20,244,230,range
111.36,595,House,Wellington,2011-02-28,Karori,Wellington,5+,725,2010-09-01,8,670,625,range
166.19,457,House,Wellington,2011-02-28,Karori,Wellington,4,625,2010-09-01,21,540,550,range
116.94,420,House,Wellington,2011-02-28,Karori,Wellington,3,522,2010-09-01,40,473,477,range
63.81,371,House,Wellington,2011-02-28,Karori,Wellington,2,456,2010-09-01,15,404,395,range
24.9,143,Room,Wellington,2011-02-28,Karori,Wellington,1,178,2010-09-01,7,165,170,range
25.9,193,Flat,Marlborough,2011-02-28,Blenheim Central,Marlborough,2,230,2010-09-01,85,211,210,range
12.99,162,Flat,Marlborough,2011-02-28,Blenheim Central,Marlborough,1,180,2010-09-01,12,173,175,range
63.8,355,House,Marlborough,2011-02-28,Blenheim Central,Marlborough,5+,447,2010-09-01,5,412,430,range
34.88,298,House,Marlborough,2011-02-28,Blenheim Central,Marlborough,4,352,2010-09-01,29,325,330,range
37.67,262,House,Marlborough,2011-02-28,Blenheim Central,Marlborough,3,310,2010-09-01,148,289,290,range
29.72,220,House,Marlborough,2011-02-28,Blenheim Central,Marlborough,2,257,2010-09-01,51,242,240,range
